feedback_id,user_id,rating,feature_name,comments,session_id
F000081,U00078,1,Automation,"Great overall, but the insights could be more actionable.",S000275
F000082,U00078,2,Reporting,"Super intuitive flow, helped me finish tasks faster.",S000276
F000083,U00079,1,Collaboration,Notifications feel noisy—maybe add batching?,S000279
F000084,U00081,5,Settings,"App crashed once while editing settings, but recovered quickly.",S000282
F000085,U00081,5,Collaboration,"Great overall, but the insights could be more actionable.",S000283
F000086,U00081,4,Collaboration,The new automation routine is a game changer.,S000284
F000087,U00081,3,Automation,Collaboration tools could integrate better with Slack.,S000285
F000088,U00083,3,Insights,Would love to see more customization options.,S000291
F000089,U00083,5,Integrations,"Mobile experience is fantastic, thanks!",S000292
F000090,U00083,1,Notifications,"Super intuitive flow, helped me finish tasks faster.",S000295
F000091,U00084,5,Reporting,Notifications feel noisy—maybe add batching?,S000296
F000092,U00084,4,Settings,Collaboration tools could integrate better with Slack.,S000297
F000093,U00085,2,Dashboard,"Mobile experience is fantastic, thanks!",S000298
F000094,U00086,5,Integrations,The new automation routine is a game changer.,S000301
F000095,U00086,2,Insights,Reporting export worked flawlessly for my client update.,S000302
F000096,U00086,1,Automation,The new automation routine is a game changer.,S000303
F000097,U00087,1,Dashboard,"App crashed once while editing settings, but recovered quickly.",S000306
F000098,U00088,4,Insights,"Super intuitive flow, helped me finish tasks faster.",S000308
F000099,U00089,4,Dashboard,Collaboration tools could integrate better with Slack.,S000313
F000100,U00089,4,Collaboration,The new automation routine is a game changer.,S000316
F000101,U00090,2,Dashboard,Collaboration tools could integrate better with Slack.,S000320
F000102,U00090,2,Collaboration,"Super intuitive flow, helped me finish tasks faster.",S000321
F000103,U00090,5,Settings,Reporting export worked flawlessly for my client update.,S000322
F000104,U00091,1,Reporting,Ran into a few slowdowns during peak hours.,S000325
F000105,U00091,1,Insights,Notifications feel noisy—maybe add batching?,S000326
F000106,U00092,4,Integrations,"Super intuitive flow, helped me finish tasks faster.",S000328
F000107,U00093,1,Automation,Reporting export worked flawlessly for my client update.,S000329
F000108,U00094,4,Settings,The new automation routine is a game changer.,S000332
F000109,U00094,5,Notifications,Ran into a few slowdowns during peak hours.,S000333
F000110,U00094,2,Automation,"Super intuitive flow, helped me finish tasks faster.",S000334
F000111,U00095,3,Collaboration,"Great overall, but the insights could be more actionable.",S000335
F000112,U00095,2,Dashboard,Reporting export worked flawlessly for my client update.,S000336
F000113,U00096,5,Dashboard,Would love to see more customization options.,S000339
F000114,U00096,2,Automation,"Mobile experience is fantastic, thanks!",S000340
F000115,U00096,2,Insights,The new automation routine is a game changer.,S000341
F000116,U00096,2,Reporting,Ran into a few slowdowns during peak hours.,S000342
F000117,U00098,2,Notifications,The new automation routine is a game changer.,S000345
F000118,U00098,4,Automation,Reporting export worked flawlessly for my client update.,S000347
F000119,U00099,3,Notifications,"Mobile experience is fantastic, thanks!",S000348
F000120,U00100,4,Settings,"Super intuitive flow, helped me finish tasks faster.",S000351
F000121,U00100,5,Settings,Collaboration tools could integrate better with Slack.,S000352
F000122,U00100,2,Dashboard,"Great overall, but the insights could be more actionable.",S000353
F000123,U00101,4,Integrations,The new automation routine is a game changer.,S000355
F000124,U00101,5,Reporting,Ran into a few slowdowns during peak hours.,S000356
F000125,U00103,2,Settings,Collaboration tools could integrate better with Slack.,S000361
F000126,U00104,1,Automation,"App crashed once while editing settings, but recovered quickly.",S000363
F000127,U00104,2,Dashboard,"Great overall, but the insights could be more actionable.",S000366
F000128,U00105,4,Reporting,The new automation routine is a game changer.,S000369
F000129,U00105,5,Reporting,Ran into a few slowdowns during peak hours.,S000370
F000130,U00106,4,Automation,Collaboration tools could integrate better with Slack.,S000371
F000131,U00106,2,Reporting,The new automation routine is a game changer.,S000373
F000132,U00108,2,Settings,"App crashed once while editing settings, but recovered quickly.",S000383
F000133,U00109,1,Reporting,"App crashed once while editing settings, but recovered quickly.",S000385
F000134,U00109,4,Settings,The new automation routine is a game changer.,S000386
F000135,U00111,3,Collaboration,Notifications feel noisy—maybe add batching?,S000389
F000136,U00111,4,Collaboration,"Great overall, but the insights could be more actionable.",S000391
F000137,U00112,1,Settings,"Mobile experience is fantastic, thanks!",S000392
F000138,U00112,5,Integrations,"Great overall, but the insights could be more actionable.",S000393
F000139,U00114,1,Reporting,The new automation routine is a game changer.,S000399
F000140,U00114,5,Collaboration,"App crashed once while editing settings, but recovered quickly.",S000402
F000141,U00114,2,Dashboard,"App crashed once while editing settings, but recovered quickly.",S000403
F000142,U00117,1,Insights,Notifications feel noisy—maybe add batching?,S000408
F000143,U00119,3,Collaboration,Would love to see more customization options.,S000415
F000144,U00119,1,Automation,Collaboration tools could integrate better with Slack.,S000416
F000145,U00120,4,Settings,Ran into a few slowdowns during peak hours.,S000419
F000146,U00120,3,Notifications,"Great overall, but the insights could be more actionable.",S000420
F000147,U00123,4,Collaboration,The new automation routine is a game changer.,S000425
F000148,U00125,2,Settings,"Great overall, but the insights could be more actionable.",S000432
F000149,U00125,1,Insights,Ran into a few slowdowns during peak hours.,S000433
F000150,U00127,4,Insights,"Great overall, but the insights could be more actionable.",S000437
F000151,U00128,5,Collaboration,The new automation routine is a game changer.,S000440
F000152,U00128,5,Insights,"Super intuitive flow, helped me finish tasks faster.",S000441
F000153,U00128,4,Insights,Ran into a few slowdowns during peak hours.,S000442
F000154,U00128,5,Dashboard,Would love to see more customization options.,S000443
F000155,U00130,5,Dashboard,Would love to see more customization options.,S000447
F000156,U00131,2,Automation,Notifications feel noisy—maybe add batching?,S000448
F000157,U00131,4,Integrations,The new automation routine is a game changer.,S000449
F000158,U00132,1,Automation,"Super intuitive flow, helped me finish tasks faster.",S000451
F000159,U00134,1,Insights,Collaboration tools could integrate better with Slack.,S000455
F000160,U00135,1,Automation,"Mobile experience is fantastic, thanks!",S000457
F000161,U00135,4,Dashboard,Notifications feel noisy—maybe add batching?,S000458
F000162,U00136,1,Dashboard,Notifications feel noisy—maybe add batching?,S000462
F000163,U00138,5,Settings,Collaboration tools could integrate better with Slack.,S000466
F000164,U00139,1,Dashboard,The new automation routine is a game changer.,S000470
F000165,U00140,1,Collaboration,Notifications feel noisy—maybe add batching?,S000471
F000166,U00140,5,Automation,Ran into a few slowdowns during peak hours.,S000474
F000167,U00141,2,Insights,Collaboration tools could integrate better with Slack.,S000476
F000168,U00141,4,Insights,"App crashed once while editing settings, but recovered quickly.",S000477
F000169,U00142,5,Settings,"Super intuitive flow, helped me finish tasks faster.",S000480
F000170,U00142,4,Insights,Would love to see more customization options.,S000481
F000171,U00143,2,Insights,"Great overall, but the insights could be more actionable.",S000483
F000172,U00145,4,Dashboard,Ran into a few slowdowns during peak hours.,S000488
F000173,U00147,1,Insights,Ran into a few slowdowns during peak hours.,S000492
F000174,U00148,4,Insights,"Great overall, but the insights could be more actionable.",S000496
F000175,U00148,4,Integrations,"Mobile experience is fantastic, thanks!",S000497
F000176,U00149,1,Collaboration,"Mobile experience is fantastic, thanks!",S000501
F000177,U00149,4,Automation,"Great overall, but the insights could be more actionable.",S000503
F000178,U00151,2,Insights,Reporting export worked flawlessly for my client update.,S000509
F000179,U00152,1,Insights,The new automation routine is a game changer.,S000510
F000180,U00152,3,Collaboration,Reporting export worked flawlessly for my client update.,S000511
F000181,U00152,5,Settings,Ran into a few slowdowns during peak hours.,S000512
F000182,U00153,3,Reporting,Ran into a few slowdowns during peak hours.,S000515
F000183,U00153,4,Automation,Would love to see more customization options.,S000517
F000184,U00153,3,Automation,"App crashed once while editing settings, but recovered quickly.",S000518
F000185,U00155,4,Automation,"Mobile experience is fantastic, thanks!",S000520
F000186,U00157,1,Reporting,Collaboration tools could integrate better with Slack.,S000529
F000187,U00158,3,Automation,Ran into a few slowdowns during peak hours.,S000533
F000188,U00159,1,Integrations,Ran into a few slowdowns during peak hours.,S000535
F000189,U00159,3,Settings,Reporting export worked flawlessly for my client update.,S000537
F000190,U00159,4,Dashboard,"App crashed once while editing settings, but recovered quickly.",S000538
F000191,U00160,1,Insights,Notifications feel noisy—maybe add batching?,S000539
F000192,U00162,2,Dashboard,Collaboration tools could integrate better with Slack.,S000542
F000193,U00163,1,Integrations,Would love to see more customization options.,S000546
F000194,U00164,4,Settings,"Mobile experience is fantastic, thanks!",S000548
F000195,U00167,2,Notifications,"Super intuitive flow, helped me finish tasks faster.",S000553
F000196,U00167,5,Insights,Would love to see more customization options.,S000555
F000197,U00168,2,Notifications,"Mobile experience is fantastic, thanks!",S000558
F000198,U00168,2,Notifications,Notifications feel noisy—maybe add batching?,S000559
F000199,U00169,3,Integrations,Reporting export worked flawlessly for my client update.,S000560
F000200,U00172,3,Insights,"Super intuitive flow, helped me finish tasks faster.",S000566
F000201,U00173,1,Insights,The new automation routine is a game changer.,S000571
F000202,U00173,1,Reporting,The new automation routine is a game changer.,S000572
F000203,U00173,4,Notifications,Ran into a few slowdowns during peak hours.,S000573
F000204,U00175,1,Settings,Notifications feel noisy—maybe add batching?,S000576
F000205,U00175,3,Integrations,"Mobile experience is fantastic, thanks!",S000577
F000206,U00177,2,Dashboard,Would love to see more customization options.,S000581
F000207,U00177,3,Insights,"Great overall, but the insights could be more actionable.",S000582
F000208,U00177,3,Collaboration,Notifications feel noisy—maybe add batching?,S000583
F000209,U00177,3,Notifications,"Mobile experience is fantastic, thanks!",S000584
F000210,U00177,3,Automation,"App crashed once while editing settings, but recovered quickly.",S000586
F000211,U00178,2,Dashboard,Ran into a few slowdowns during peak hours.,S000589
F000212,U00178,5,Collaboration,"Super intuitive flow, helped me finish tasks faster.",S000590
F000213,U00181,5,Insights,Ran into a few slowdowns during peak hours.,S000598
F000214,U00181,5,Integrations,Notifications feel noisy—maybe add batching?,S000599
F000215,U00182,3,Reporting,Reporting export worked flawlessly for my client update.,S000605
F000216,U00183,1,Automation,Ran into a few slowdowns during peak hours.,S000609
F000217,U00185,5,Settings,"Super intuitive flow, helped me finish tasks faster.",S000618
F000218,U00187,4,Automation,Reporting export worked flawlessly for my client update.,S000623
F000219,U00187,4,Reporting,Ran into a few slowdowns during peak hours.,S000625
F000220,U00187,2,Settings,"Mobile experience is fantastic, thanks!",S000627
F000221,U00187,5,Dashboard,Ran into a few slowdowns during peak hours.,S000628
F000222,U00188,4,Notifications,"Great overall, but the insights could be more actionable.",S000632
F000223,U00189,3,Integrations,"App crashed once while editing settings, but recovered quickly.",S000634
F000224,U00189,1,Automation,Ran into a few slowdowns during peak hours.,S000636
F000225,U00189,2,Automation,Ran into a few slowdowns during peak hours.,S000637
F000226,U00190,5,Dashboard,"Super intuitive flow, helped me finish tasks faster.",S000638
F000227,U00190,4,Notifications,Notifications feel noisy—maybe add batching?,S000639
F000228,U00190,3,Reporting,The new automation routine is a game changer.,S000640
F000229,U00191,5,Reporting,Reporting export worked flawlessly for my client update.,S000643
F000230,U00191,2,Integrations,"Great overall, but the insights could be more actionable.",S000647
F000231,U00192,3,Notifications,Reporting export worked flawlessly for my client update.,S000649
F000232,U00192,2,Collaboration,Ran into a few slowdowns during peak hours.,S000651
F000233,U00193,5,Automation,Reporting export worked flawlessly for my client update.,S000653
F000234,U00193,2,Insights,Reporting export worked flawlessly for my client update.,S000654
F000235,U00194,4,Collaboration,"Super intuitive flow, helped me finish tasks faster.",S000657
F000236,U00194,2,Settings,Collaboration tools could integrate better with Slack.,S000658
F000237,U00195,5,Insights,"App crashed once while editing settings, but recovered quickly.",S000659
F000238,U00195,4,Automation,Ran into a few slowdowns during peak hours.,S000660
F000239,U00196,1,Settings,"App crashed once while editing settings, but recovered quickly.",S000663
F000240,U00198,2,Settings,Collaboration tools could integrate better with Slack.,S000668
F000241,U00199,2,Notifications,Reporting export worked flawlessly for my client update.,S000672
F000242,U00200,2,Notifications,"Mobile experience is fantastic, thanks!",S000675
F000243,U00201,5,Reporting,"Super intuitive flow, helped me finish tasks faster.",S000676
F000244,U00201,1,Settings,Would love to see more customization options.,S000677
F000245,U00201,5,Collaboration,The new automation routine is a game changer.,S000679
F000246,U00202,5,Collaboration,"App crashed once while editing settings, but recovered quickly.",S000680
F000247,U00203,1,Dashboard,"Super intuitive flow, helped me finish tasks faster.",S000682
F000248,U00203,5,Reporting,Collaboration tools could integrate better with Slack.,S000684
F000249,U00203,2,Notifications,Reporting export worked flawlessly for my client update.,S000685
F000250,U00204,4,Insights,"Mobile experience is fantastic, thanks!",S000688
F000251,U00204,4,Notifications,The new automation routine is a game changer.,S000692
F000252,U00205,3,Collaboration,Ran into a few slowdowns during peak hours.,S000693
F000253,U00205,4,Integrations,"App crashed once while editing settings, but recovered quickly.",S000695
F000254,U00205,3,Settings,Notifications feel noisy—maybe add batching?,S000698
F000255,U00206,2,Integrations,"Super intuitive flow, helped me finish tasks faster.",S000700
F000256,U00207,3,Reporting,The new automation routine is a game changer.,S000702
F000257,U00208,1,Integrations,"App crashed once while editing settings, but recovered quickly.",S000705
F000258,U00208,2,Integrations,Collaboration tools could integrate better with Slack.,S000709
F000259,U00209,1,Notifications,"Mobile experience is fantastic, thanks!",S000710
F000260,U00210,3,Integrations,"Mobile experience is fantastic, thanks!",S000711
F000261,U00210,1,Dashboard,Ran into a few slowdowns during peak hours.,S000712
F000262,U00211,1,Insights,Collaboration tools could integrate better with Slack.,S000713
F000263,U00211,4,Settings,The new automation routine is a game changer.,S000717
F000264,U00211,2,Notifications,The new automation routine is a game changer.,S000718
F000265,U00212,3,Notifications,Would love to see more customization options.,S000720
F000266,U00214,4,Insights,Would love to see more customization options.,S000727
F000267,U00214,2,Automation,The new automation routine is a game changer.,S000728
F000268,U00215,1,Collaboration,"App crashed once while editing settings, but recovered quickly.",S000729
F000269,U00216,5,Notifications,The new automation routine is a game changer.,S000732
F000270,U00217,2,Automation,Collaboration tools could integrate better with Slack.,S000734
F000271,U00217,5,Settings,Collaboration tools could integrate better with Slack.,S000735
F000272,U00218,4,Automation,Would love to see more customization options.,S000737
F000273,U00219,1,Reporting,The new automation routine is a game changer.,S000742
F000274,U00219,1,Insights,Notifications feel noisy—maybe add batching?,S000744
F000275,U00220,4,Reporting,Ran into a few slowdowns during peak hours.,S000746
F000276,U00220,4,Collaboration,Reporting export worked flawlessly for my client update.,S000749
F000277,U00220,2,Integrations,Ran into a few slowdowns during peak hours.,S000750
F000278,U00221,3,Collaboration,The new automation routine is a game changer.,S000752
F000279,U00221,4,Integrations,Collaboration tools could integrate better with Slack.,S000756
F000280,U00222,4,Automation,"Great overall, but the insights could be more actionable.",S000757
F000281,U00222,5,Automation,Reporting export worked flawlessly for my client update.,S000759
F000282,U00222,4,Notifications,Reporting export worked flawlessly for my client update.,S000761
F000283,U00222,4,Notifications,"Great overall, but the insights could be more actionable.",S000762
F000284,U00224,1,Settings,Ran into a few slowdowns during peak hours.,S000767
F000285,U00225,2,Reporting,"Super intuitive flow, helped me finish tasks faster.",S000771
F000286,U00226,3,Notifications,Would love to see more customization options.,S000774
F000287,U00226,1,Automation,Collaboration tools could integrate better with Slack.,S000775
F000288,U00228,2,Automation,"App crashed once while editing settings, but recovered quickly.",S000779
F000289,U00230,3,Integrations,"Great overall, but the insights could be more actionable.",S000786
F000290,U00232,1,Integrations,"Super intuitive flow, helped me finish tasks faster.",S000791
F000291,U00233,5,Notifications,Would love to see more customization options.,S000792
F000292,U00233,5,Notifications,The new automation routine is a game changer.,S000793
F000293,U00233,2,Dashboard,"Great overall, but the insights could be more actionable.",S000794
F000294,U00233,1,Settings,"App crashed once while editing settings, but recovered quickly.",S000796
F000295,U00234,2,Settings,The new automation routine is a game changer.,S000799
F000296,U00235,1,Notifications,Ran into a few slowdowns during peak hours.,S000805
F000297,U00236,1,Automation,"Mobile experience is fantastic, thanks!",S000806
F000298,U00237,3,Collaboration,The new automation routine is a game changer.,S000808
F000299,U00237,4,Settings,"Super intuitive flow, helped me finish tasks faster.",S000810
F000300,U00238,2,Settings,"Super intuitive flow, helped me finish tasks faster.",S000818
F000301,U00239,3,Settings,"Great overall, but the insights could be more actionable.",S000821
F000302,U00240,5,Reporting,Collaboration tools could integrate better with Slack.,S000822
F000303,U00240,1,Insights,The new automation routine is a game changer.,S000823
F000304,U00240,5,Reporting,Would love to see more customization options.,S000824
F000305,U00241,3,Automation,Collaboration tools could integrate better with Slack.,S000831
F000306,U00241,3,Dashboard,"Mobile experience is fantastic, thanks!",S000832
F000307,U00242,5,Dashboard,Notifications feel noisy—maybe add batching?,S000834
F000308,U00242,1,Dashboard,Notifications feel noisy—maybe add batching?,S000835
F000309,U00242,2,Insights,Reporting export worked flawlessly for my client update.,S000836
F000310,U00242,2,Reporting,The new automation routine is a game changer.,S000839
F000311,U00244,2,Integrations,Notifications feel noisy—maybe add batching?,S000842
F000312,U00245,1,Dashboard,Would love to see more customization options.,S000845
F000313,U00245,3,Integrations,Would love to see more customization options.,S000848
F000314,U00247,5,Dashboard,Ran into a few slowdowns during peak hours.,S000852
F000315,U00250,1,Settings,Would love to see more customization options.,S000860
F000316,U00250,5,Settings,Collaboration tools could integrate better with Slack.,S000861
F000317,U00251,5,Integrations,Collaboration tools could integrate better with Slack.,S000865
F000318,U00253,2,Notifications,Collaboration tools could integrate better with Slack.,S000869
F000319,U00253,1,Reporting,"Super intuitive flow, helped me finish tasks faster.",S000870
F000320,U00253,5,Collaboration,Reporting export worked flawlessly for my client update.,S000871
F000321,U00254,3,Insights,"Great overall, but the insights could be more actionable.",S000872
F000322,U00254,3,Integrations,Ran into a few slowdowns during peak hours.,S000873
F000323,U00255,2,Collaboration,"Great overall, but the insights could be more actionable.",S000875
F000324,U00256,4,Settings,Ran into a few slowdowns during peak hours.,S000879
F000325,U00256,4,Reporting,"Mobile experience is fantastic, thanks!",S000880
F000326,U00257,3,Automation,Collaboration tools could integrate better with Slack.,S000881
F000327,U00258,2,Dashboard,Ran into a few slowdowns during peak hours.,S000885
F000328,U00259,2,Integrations,Ran into a few slowdowns during peak hours.,S000887
F000329,U00261,3,Insights,Reporting export worked flawlessly for my client update.,S000892
F000330,U00262,2,Reporting,Notifications feel noisy—maybe add batching?,S000895
F000331,U00262,5,Integrations,The new automation routine is a game changer.,S000898
F000332,U00263,5,Integrations,Ran into a few slowdowns during peak hours.,S000900
F000333,U00264,2,Integrations,"App crashed once while editing settings, but recovered quickly.",S000905
F000334,U00265,5,Automation,Ran into a few slowdowns during peak hours.,S000909
F000335,U00265,4,Settings,The new automation routine is a game changer.,S000910
F000336,U00265,5,Dashboard,"Super intuitive flow, helped me finish tasks faster.",S000911
F000337,U00265,1,Dashboard,Ran into a few slowdowns during peak hours.,S000913
F000338,U00266,2,Automation,Notifications feel noisy—maybe add batching?,S000915
F000339,U00266,4,Integrations,"App crashed once while editing settings, but recovered quickly.",S000919
F000340,U00267,5,Settings,Would love to see more customization options.,S000920
F000341,U00272,5,Settings,"Mobile experience is fantastic, thanks!",S000930
F000342,U00272,3,Dashboard,"Super intuitive flow, helped me finish tasks faster.",S000932
F000343,U00272,3,Notifications,Collaboration tools could integrate better with Slack.,S000935
F000344,U00274,1,Insights,Notifications feel noisy—maybe add batching?,S000941
F000345,U00274,5,Dashboard,"App crashed once while editing settings, but recovered quickly.",S000942
F000346,U00274,3,Integrations,The new automation routine is a game changer.,S000943
F000347,U00274,5,Insights,Would love to see more customization options.,S000946
F000348,U00276,1,Dashboard,Would love to see more customization options.,S000948
F000349,U00276,1,Dashboard,"Mobile experience is fantastic, thanks!",S000951
F000350,U00276,4,Reporting,"Mobile experience is fantastic, thanks!",S000952
F000351,U00277,3,Integrations,Reporting export worked flawlessly for my client update.,S000954
F000352,U00278,3,Automation,"Mobile experience is fantastic, thanks!",S000958
F000353,U00278,4,Insights,"Great overall, but the insights could be more actionable.",S000960
F000354,U00279,3,Settings,"App crashed once while editing settings, but recovered quickly.",S000961
F000355,U00281,2,Notifications,"Super intuitive flow, helped me finish tasks faster.",S000970
F000356,U00281,4,Notifications,Collaboration tools could integrate better with Slack.,S000972
F000357,U00281,5,Notifications,Notifications feel noisy—maybe add batching?,S000974
F000358,U00282,5,Notifications,"App crashed once while editing settings, but recovered quickly.",S000976
F000359,U00282,1,Dashboard,Ran into a few slowdowns during peak hours.,S000978
F000360,U00283,4,Dashboard,Would love to see more customization options.,S000979
F000361,U00283,4,Dashboard,Reporting export worked flawlessly for my client update.,S000980
F000362,U00283,1,Reporting,Notifications feel noisy—maybe add batching?,S000981
F000363,U00283,2,Integrations,Would love to see more customization options.,S000982
F000364,U00285,2,Reporting,Collaboration tools could integrate better with Slack.,S000988
F000365,U00287,1,Insights,"Super intuitive flow, helped me finish tasks faster.",S000994
F000366,U00288,1,Dashboard,"Mobile experience is fantastic, thanks!",S000995
F000367,U00288,4,Insights,"Super intuitive flow, helped me finish tasks faster.",S000998
F000368,U00288,5,Dashboard,Ran into a few slowdowns during peak hours.,S001000
F000369,U00290,3,Insights,Reporting export worked flawlessly for my client update.,S001003
F000370,U00291,2,Dashboard,Notifications feel noisy—maybe add batching?,S001008
F000371,U00293,4,Settings,Ran into a few slowdowns during peak hours.,S001012
F000372,U00295,2,Settings,"Mobile experience is fantastic, thanks!",S001017
F000373,U00295,5,Automation,"App crashed once while editing settings, but recovered quickly.",S001018
F000374,U00297,1,Dashboard,Reporting export worked flawlessly for my client update.,S001025
F000375,U00298,5,Settings,"App crashed once while editing settings, but recovered quickly.",S001030
F000376,U00299,2,Insights,"Mobile experience is fantastic, thanks!",S001034
F000377,U00299,3,Notifications,Collaboration tools could integrate better with Slack.,S001036
F000378,U00301,4,Settings,"App crashed once while editing settings, but recovered quickly.",S001043
F000379,U00302,4,Integrations,Collaboration tools could integrate better with Slack.,S001045
F000380,U00302,5,Collaboration,Collaboration tools could integrate better with Slack.,S001047
F000381,U00304,4,Notifications,"App crashed once while editing settings, but recovered quickly.",S001053
F000382,U00304,2,Notifications,Collaboration tools could integrate better with Slack.,S001055
F000383,U00308,2,Dashboard,"App crashed once while editing settings, but recovered quickly.",S001066
F000384,U00308,5,Collaboration,Reporting export worked flawlessly for my client update.,S001067
